Leading 1,Leading 2,Prompt,Response 1,Response 2,Response 3,"Results (R1, R2, R3, Ignore) (I - Ignore, D - Despair, F - False Optimism, G - Good)"
นายเคยคิดถึงอดีตบ้างหรือเปล่า? <0.25>,คิดถึงวันวาน <0.25>,แล้วกลับมามองปัจจุบัน ว่าทำไมถึงเป็นแบบนี้ไปได้<5.0>,ชีวิตก็ตกต่ำลงไปเรื่อยๆอยู่แล้ว,ก็ไม่ถึงขนาดนั้น,ความคิดคนเปลี่ยนได้เรื่อยๆ \n ไม่เป็นไรหรอก,"D2, -, F1, I2"
,,ฉันอยากตาย <5.0>,มีเรื่องเครียดอะไรหรือเปล่า? \n เล่ามาได้นะ,ใจเย็นๆสิ เดี๋ยวก็ดีขึ้น,เหมือนกันเลย,"G2, F2, D3, I2"
"""เดี๋ยวก็ดีขึ้น"" <0.25>","""เดี๋ยวก็ผ่านมันไปได้"" <0.25>",เหอะ... มีแต่คำพูดกลวงๆ <5.0>,แต่ก็จริงไม่ใช่เหรอ \n ยังไงก็ต้องสู้ต่อไป,เขาก็พูดไปงั้นแหละ,เห็นด้วย,"F2, D1, -, G2"
นานจนฉันลืมไปแล้ว <0.25>,,แต่จำตอนที่ฉันยิ้มครั้งล่าสุดได้ไหม? <5.0>,งานเทศกาลรอบก่อนนายร่าเริงมากเลยนะ,ถ้าจำไม่ได้ ก็ยิ้มตอนนี้เลย!,ฉันยังจำของตัวเองไม่ได้เลย,"G1, F1, D2, I1"
คิดว่าเป็นไปได้ไหม? <0.25>,,ที่ความฝันในวัยเด็กจะกลับมาเป็นจริง <5.0>,มันคงเป็นไปไม่ได้แล้วล่ะ,ถ้าพยายามก็ทำได้อยู่แล้ว,บางทีถ้าลองดูอาจจะได้ \n แล้วความฝันตอนนี้ล่ะ?,"D1, F2, G1, I1"
คิดว่ามะเขือเทศ... <0.25>,,เป็นผักหรือผลไม้? <5.0>,ห๊ะ?,ผัก,ผลไม้,"-, -, -, -"
ดูเนื้อพวกนี้สิ <0.25>,อยากรู้... <0.50>,ว่าเคยอยากเป็นวีแกนไหม? <5.0>,ก็ไม่นะ,ก็เคยเป็น,อืมม...,"-, -, -, -"
คิดว่าจะซื้อเคสโทรศัพท์ใหม่ <0.25>,,สีไหนดี? <5.0>,ชมพูพาสเทล,เทา,ทองอร่าม,"-, -, -, -"
คำนี้คนเขียนผิดบ่อย <0.25>,,"ผัด ""กระเพรา"" เขียนยังไง? <5.0>",กระเพรา,กะเพรา,กละเภรา,"-, -, -, -"
,,ปกติกินไอติมยังไง? <5.0>,เลีย,กัด,กินจากโคนขี้นมา,"-, -, -, -"
,,ช่วงนี้อากาศไม่ค่อยดีเลย ว่ามะ? <5.0>,ฝนตกบ้างก็ดีนะ,จริง อยากเห็นแสงแดดบ้าง,หวังว่าพายุจะไม่เข้านะ,"-, -, -, -"
,,ได้ดูข่าวไหมช่วงนี้? <5.0>,ไม่อะ มีแต่ข่าวไร้สาระ,ดูอยู่บ้างๆ,,"-, -, -, -"
,,มีถั่วไหม? <5.0>,ไม่มี,มี,มี แต่ 20 บาท,"-, -, -, -"
,,จับตะเกียบแปลกดีนะ <5.0>,แล้วไง?,ถือว่าชมแล้วกันนะ,มีแปลกกว่านี้อีก,"-, -, -, -"
ไหนๆ ก็มาแล้ว... <0.25>,,ไม่กินผักหน่อยหรอ? <5.0>,ไม่คุ้ม เนื้อแพงกว่า,ไม่คิดว่านายกินผักด้วย,ไม่อร่อยหรอก เชื่อฉัน,"-, -, -, -"
มีคำถาม... <0.25>,,พระอภัยมณีเป่าปี่หรือเป่าขลุ่ย? <5.0>,ปี่,ปลุ่ย,ฮั่นแน่ นั่นมันสุนทร... เอ๊ะ...,"-, -, -, -"
,,เค็มหรือหวาน? <5.0>,ถามทำไมครับเนี่ยยยย!?,หวาน,เค็ม,"-, -, -, -"
,,ได้เล่นเกมอะไรไหมช่วงนี้? <5.0>,ไม่เคยได้เล่น,ช่วงนี้มีแต่กาชา,เกมเดิมตั้งแต่มหาลัยแหละ,"-, -, -, -"
เคยคิดว่าเราอยู่ในเกมไหม? <0.25>,,เหมือนใน Matrix ไรงี้? <5.0>,ก็เป็นไปได้,เบียวละ,แน่นอน,"-, -, -, -"
,,คิดว่านกมีจริงไหม? <5.0>,เดินมานี่ไม่เห็นซักตัวเลยเหรอ?,ไม่ นกเป็นโดรนสอดแนมจากรัฐบาล,ต้องการจะสื่ออะไรเนี่ย?,"-, -, -, -"
เคยอยากเล่นกีฬา extreme ไหม? <0.25>,,แบบบันจี้จั๊มหรือโดดร่มไรงี้? <5.0>,ไม่กล้า,ก็อยากอยู่,ถ้ามีเพื่อนไปก็โอเค,"-, -, -, -"
ช่วงนี้ไม่ค่อยเห็นนกเลยนะ <0.25>,เราว่าเราไม่เคยถามนายเรื่องนี้ <0.25>,นายชอบนกรึเปล่านะ <5.0>,ก็ไม่ได้เกลียดมันนะ,ฉันคิดว่ามันน่ารำคาญหน่ะ,นกไม่มีอยู่จริงสักหน่อย มีแต่โดรน,"-, -, -, -"
